text,label,language
joker ku aparam namba pakhirajan ku dhan villian fan base iruku pollaa,0,tamil
epadiya jathi padam ponnu padama edungada india vallarasu agidun pogada nigalun unga jathi padam anda parambarai penda parambarai nu vadhuduraga da,4,tamil
othaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa vera level back to the form thala,0,tamil
പൊളിച്ചു ഇത് അപ്പുറത്തു രായന്റെ ട്രൈലെർ മൂഞ്ചൽ,2,malayalam
director drama love companya kathravutapla darbar pakkuramo illayo throwpathi pakkanum,0,tamil
padam kandavar ivide kayari comment adike,0,malayalam
nettoran as congress guy kadha manasilayi linen taking place of gadhi,0,malayalam
sunni like tha potrundha but eppo viduvana,1,tamil
thala just mass action ila best marana mass action movie daaaaaa,0,tamil
ith ikka ayirunnel polichene oru mattavumilla mohanlal n,5,tamil
inni kanji chodichu arum varandaa assalu biriyani thanne thannittund lucifer,0,malayalam
lal fans dis like adi ippozhe thudangi,3,malayalam
aarokke first showkk pokum fdfs arokke like adikk,0,malayalam
sasi mind voice namaa yarukummm pagaaailama poiruvommmm,0,tamil
climax laaa potta paruu daa oru bitta aadaiiii,0,tamil
cinema kandu nice പൊളിച്ചു repeat ചെയ്ത കാണുകയാണ് movie പക്ഷെ trailerill ഉള്ള പല scensum സിനിമയിൽ ഇല്ല എന്താ അത്,0,malayalam
trailer triple strong akumenu orapullavar like adik,0,malayalam
visuwasam teaser coming yarelam waiting,0,tamil
എത്ര തച്ചോളികൾ ചിലച്ചാലും കൊല കൊള്ളി ആണ് ഇത്,3,malayalam
இசை மட்டும் நன்றாக உள்ளது இது எனது தனிப்பட்ட கருத்து,0,tamil
jimittukal karanju chaakum athum tripple strongil,3,malayalam
enada konjam mad max mathiri iruke,1,tamil
kolur lol,5,kannada
ഇത് എന്താണ് കുറച്ച് കാലം മുമ്പേ ഇറങ്ങിയ പടങളുടെ ഒരു കുട്ട് കറി പോലെ ഉണ്ട് mexican apratha premam angamali diary,0,malayalam
realistic padam kandu maduthu eni korachu mass aakam,0,malayalam
മോഹൻലാൽ പഞ്ചാബിയാണോ ഈ പടം എട്ടു നിലയിൽ പൊട്ടും കടത്തനാടൻ അമ്പാടി പൊട്ടിയതുപോലെ,0,malayalam
prosthetic s bahut ajeb lag raha hai literally story kafi interesting hai magar prosthetic s bahut kharab hai ye ek heh problem hai film meh,5,tamil
dei athukku neenga deepa vaiyae nadikka vaichirukkalamae da dei,2,tamil
thala blood mattum like ah podu,0,tamil
echa payalunga thiruma saiko ranjith echa arasiyal panranga ponungala yemathuravanga mugathirai kilikum vilipunarvaga intha padam irukum nambugiraen,1,tamil
ella frauds um koottathode undallo naari dileep,2,malayalam
