text,label
ee padam kolamavukayaanengil it will be because of peter hein,0
29 k mammunni fans trailor kandu,3
i hate mohanlal koppile oru dance,2
ethentha telugu movie vikranadithya malayam version ano,0
സത്യം പറയാലോ shylockന്റെ teaser നെ കാട്ടിലും നല്ലത് ബിഗ് ബ്രദർ തന്നെയാണ്,0
ittimaniyile laleattente look ishtamaayavar like adi,0
trailer nte pokku kandattu valya pratheeksha illa nammade george ettans pole,0
kalipp katta kalip polichu,0
no violence only peace ഗോപാലൻ പണ്ടേ പീസിന്റെ ആളാണല്ലോ,2
ഭവനെ കൊല ഗാണ്ടിലെ ഇറുക്ക് ഹഹ കൊല്ലാമ വിടമാട്ടേൻ ന്റമ്മോ ജ്ജാതി ഡയലോഗ്,0
kure per dislike adich kuru pottikkunnund,1
trailer kollam padam koodi kanatte ennitt parayam bakki masss trailer,0
1982 പടയോട്ടം 1989 വീരഗാഥ 2009 പഴശ്ശിരാജ 2019 മാമാങ്കം വർഷങ്ങൾ മാറും ചരിത്രം മാറും ചരിത്രനായകൻ അന്നും ഇന്നും എന്നും മമ്മൂക്ക മാത്രം,0
ഇട്ടിമാണിയുടെ മാർഗ്ഗം കളിക്കൊപ്പം ഈ ശ്രീകൃഷ്ണ നൃത്തവും supoort ചെയ്യണേ,0
എന്റപോന്നോ ഇത് വേറെ ലെവൽ ട്രയ്ലർ ആണല്ലോ fdfs locked,0
സംഭവം കൊള്ളാം പക്ഷേ പരിചയമുള്ള ഒരു മുഖമെങ്കിലും ഉണ്ടായിരുന്നെങ്കിൽ വമ്പൻ വിജയം കൈവരിക്കാൻ സാധ്യതയുണ്ടാവുമെന്നെങ്കിലും പറയാമായിരുന്നു ഇതിപ്പോൾ എന്താവുമെന്ന് കണ്ടറിയാം എബ്രിഡ് ഷൈൻഈ മനുഷ്യനിലാണ് മൊത്തം പ്രതീക്ഷ,0
ei padamonnu erangikkottay athenu mumbay ningalu thallallay,0
malayalam cinema alla athukkum mele,0
yenthina aa manjvine ithilekku valichirakkiyathu aval undayathukondu padam kananulla aa thrill poyi,2
thadiyan de eee padavum munjum,2
kumbalanghykaaarundengi onnu kaaniche nummada oru didu,0
eathu nayinte makkal avao dislike adiche,1
എത്ര തച്ചോളികൾ ചിലച്ചാലും കൊല കൊള്ളി ആണ് ഇത്,3
cheguthan vannu ini rajayude oozham lalettan mammooka b i g m s,0
lal fans kurachu kashttapedu unlike adichuuu,3
raaaju fans lalettan fans manju fans tovino fans ennittum 2 5 ml maathram lucifer maduraraja only mammooka,0
movie tamil la irundha nalla irukum,5
delipettan manasvekkathe ninte oru padam polum vijayikkilla,2
kinnan oru rakshayum illa bgm kidu,0
ക്രിസ്ത്യാനിയല്ലേടി അവൻ യേശു നമ്മക്ക് അറിയാത്ത ആളൊന്നും അല്ലല്ലോ,0
arokke 0 21 bigil first look kando,0
mammottykku mathram oru nalla padavum illa,0
e kunnapan polyti mon rss mirana,2
al veruppikkal mammotty ude vere oru adipoli veruppikkal padamayirikku ith,2
fdfs locked ഒറ്റ പേര് megastar mamookka,0
i oppose cab ivide like adich pradisheeedham kaaanikk,0
it s amazing vere onnum parayan illa,0
sooragetta poolichutoo last dialogue epic,0
രണ്ടു വട്ടം ട്രൈലർ കണ്ടവർ അടി ലൈക്,0
മൈര് ഇത് ഒരു മാതിരി ഫാൻ മെയ്ഡ് ട്രൈലെർ പോലെ ഉണ്ട്,1
kitti njangalak njagade aa pazhaya lalettane thirichu kitti,0
മോനെ ഒരു രക്ഷയും ഇല്ലല്ലോ ഹെവി എന്ന് പറഞ്ഞാൽ കുറഞ്ഞ് പോകും ഇത് അന്യായം മാസ്സ് ka baap,0
joby ajai mstar mammootty,5
lucifer ki jay lallettan polichu mass verum massala marana mass love you lallettaaaaa,0
ee visula marakrille alla ore english movie de trailer aane but dailogue same ane,0
ഒരു സിമ്പിൾ ട്രൈലെർ പോസിറ്റീവ് ആണെങ്കിൽ ഏട്ടനും പിള്ളേരും ഈ ഓണം ഇങ്ങ് എടുക്കും,0
face of indian cinema mega star mamuka,5
entammooo onnum parayanilla level,0
ഈ സിനിമ ഒരു വിജയമാകട്ടെന്നു ആശംസിക്കുന്നു all the best ചാക്കോച്ചൻ and team,0
trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu,3
ആരോ ഒരാൾ അല്ല,0
katta waiting a lalettan fan,5
ee chanakathinte cinema nammal kanano theerumanikkuka jai hind,2
9 6k dislikes from antony perumbavor undaya,0
14k dislike adicha oolakalk naduviral namaskaram,1
boss s marana mass mavne kola kandle iruk kollame vida matte,5
unda enna perittappo parihasicha priyadarshanu kod urundaa,0
സിനിമ കണ്ടട്ട് ഇത് കാണണം എന്താ രസം ന്ന് അറിയോ,0
ഈ വീട് വെക്കാൻ ചിലവ് വെറും 9 ലക്ഷം രൂപയോ,0
മമ്മൂട്ടി ആരാധകരെയും സിനിമാപ്രേമികളേയും ഒരു പോലെ ആവേശത്തിലാക്കിയ മാമാങ്ക ചരിത്രത്തിലെ ഏറ്റവും മനോഹരമായ ഗാനം,0
2 countriesinte second partinu kaathu nikkunnavarundo,0
oru pani palal manakunnu again mr jr,0
head set വെച്ച് കേൾക്കുമ്പോൾ തന്നെ എന്താ എഫക്ട് അപ്പൊ തീയേറ്ററിൽ കിടുക്കും,0
katta ikka fans unddegil like adi,0
jimitt fans jimittinte theettam thinnaan nokk myrukale,3
njn oru katta lalettan fan anu pakshe ithoru oru onanora item thaneyaa katta waiting,0
jimitt fans jimittinte theettam thinnaan nokk myrukale,3
കളരി മാസ്റ്റർ എന്നയിരിന്നു എങ്കിൽ ഒരു ആകാംമഷ ഉണ്ടയാനെ കാരണം ചൈനിസ് അയോദന കലകൾ ആ രജ്യത്തിൻ്റെ സംസ്കാരവുമായി നിർമിക്കുബൊഴെ അതിന് ഒരു രസമുള്ളു ഇന്ത്യൻ അയോദന കല കളരി ആണ് കളരിയെ പുതിയ കാലത്തിൻ്റെ രീതിയിൽ കഥ പറഞ്ഞ ഒരു സിനിമ വന്നിട്ടില്ല,0
yeah kollam surya tvil verunna serial polea und,3
manju manju manju manju manju manju manju manju manju,0
ഒന്നും കാണിക്കുന്നില്ല എന്താ ഹാങ്ങ് ആയോ,0
ഇതൊക്കെ മുത്ത് മഞ്ചുചേച്ചി്ക്ക് വേണ്ടിമാത്രമുള്ള കഥാപാത്രമാണേലും,0
njan oru ikka fan alla pakshe ente romam vare ezhunnett ninnu apaaram,0
robert de niro dae the fan polle vello anno,0
pattu kanda kondu തീരുമാനം aayi pada kanand,0
ഇക്കാ ഫാൻസിന്റെ വക വിജയാശംസകൾ നേരുന്നു ഞാനൊരു ഇക്കാ ഫാൻ ആണ് എനിക്ക് ഒരു 100ലൈക് തരാമോ ഏട്ടൻ ഫാൻസ്,0
dislike adikkuna naarikaludea sreadakku nee okke ethra disliker adichalum padam super hit aayerikkum,1
മമ്മൂട്ടി ഫാൻസ് എന്റെ ചാനൽ സബ്സ്ക്രൈബ് ചെയ്യുമോ പ്ലീസ്,0
malayala cinemaye indian film industry il uyarthiya mass thriller lucifer,0
mammookka uyir like adichu pottikada makkale,0
13k dislike adicha guhanzzz stand vitt pokendatanu,3
mammottynte koode siddi adhoru mass anu alle,0
ഷൈലോക്ക് ടീസർ ഒരു രക്ഷയുമില്ല ഇനി ഇതിന്റെ ട്രൈലെർ ഇതിനേക്കാൾ പൊളിക്കും എന്ന് ഉറപ്പുള്ളർ ലൈക് അടി,0
pakka poli nigal entha manasilakiknath keraliyar k buthiyillalae thani thedrit pakka fillm thani poli film,5
fdfs ഉറപ്പിക്കാൻ ആദ്യത്തെ ആ scene തന്നെ ധാരാളം ആയിരുന്നു,0
kore thendikal unlike edand stop cheyyuka,1
katta waiting nalla padamaanennu thonnunnu,0
oru pooram trilar vijariichu vannappooo oru mass trilar aayiii thoonniyavarr like aahdii,0
dislike adichavar ettavum valiya oolakal bldy idiots,1
njan oru bangali aanu malayalam theriyale aanalum trailer romba super aayirukk,5
dislike adichavark irikkattee oru kuthira pavan ejjathi ooolatharam,1
ijjadi mass sadanam ഇക്ക നിങ്ങ poliyaan inippo kurupottichond കൊറേ mairanmar വരും,1
good luck jaya chetta from kanyakumari,5
ഹെവി ജോജുവേട്ടന് അടുത്തൊരു ബ്ലോക്ക്ബസ്റ്റർ ലോഡാവുന്നുണ്ട്,0
eee trailor 25 thavana kandavar like adi,0
ഉടൻ വരും,0
എങ്ങനെ youtube പ്രൊഫൈൽ pic മാറ്റാം,0
