text,true_label,true_label_name,pred_muril,pred_muril_name,pred_xlm-roberta,pred_xlm-roberta_name,pred_mbert,pred_mbert_name,correct
eppdi thalaiva unakku mattum ippdi script ah amaithu,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,False
1k dislikes yaaru da nengala,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
nadaka kudathuna director s film nadaka vidamaatanna athu thala film,0,Not_offensive,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,False
ithu sunda podara neram illa moviekku support neram,0,Not_offensive,3,Offensive_Targeted_Group,0,Not_offensive,1,Offensive_Untargeted,False
ethum blockbuster nu soluvanga parungala wait panii amaingaaaa danger paaaaaa,3,Offensive_Targeted_Group,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
innoru rekka movie ah aagita poguthu,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,0,Not_offensive,3,Offensive_Targeted_Group,False
doi ethu koddai eduththa,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
பெரிய குடும்பம் மண்ணு பொண்ணு அப்டீன்னு இன்னுமாடா சாதி வெறி புடிச்சு திரியறீங்க உங்கள முன்னுக்கு கொண்டு வர பொறந்த பெரியாரையும் அம்பேத்க்கரையும் அசிங்கப் படுத்தாதீங்கடா,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,False
ratatouille la varavan madriye irukka kooda irukkavan hope sandhanam rocks again,0,Not_offensive,1,Offensive_Untargeted,0,Not_offensive,2,Offensive_Targeted_Individual,False
கடைசியா நான் அரசியலுக்கு வருவது உருதி இது 96 யார ஏமாத்துரீங்க,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
adeii ellai meeri poringa da,1,Offensive_Untargeted,3,Offensive_Targeted_Group,1,Offensive_Untargeted,4,Offensive_Targeted_Other,False
sathiyama oodathu da daeee dialogues kevalam theme baga baga,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,1,Offensive_Untargeted,False
ennoda channlai subecribe panna maatingala kizha comment pannuga,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
what did u say,0,Not_offensive,0,Not_offensive,0,Not_offensive,1,Offensive_Untargeted,False
waннн waннн waннн тнala тнala тнala enge тнala nale мaѕѕ тan ѕeммeeee,0,Not_offensive,5,not-Tamil,5,not-Tamil,5,not-Tamil,False
அருமையான நடுத்தர மக்களுக்கான படம் உங்கள் பணி சிறக்க வாழ்த்துக்கள் இயக்குனரே இங்க யாரும் தான் வீட்டு பொண்ணுகள அடுதவனுக இழுத்துட்டு போறத வேடிக்க பாக்க மாட்டனுக,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
nadaga kathaluku kuruma group kum entha padam oru mutru pulli vaikum super director sir hat s off,3,Offensive_Targeted_Group,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
nice trailer but dhool padam maathiri irukumonu oru chinna doubt vera yaarkavathu intha doubt vanthrukaa,4,Offensive_Targeted_Other,1,Offensive_Untargeted,1,Offensive_Untargeted,0,Not_offensive,False
chala bavundhi nxt step movie,5,not-Tamil,1,Offensive_Untargeted,5,not-Tamil,0,Not_offensive,False
ennada ithu oru phone 0 23 kooraya pichikkittu pohuthu,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
ipo kadharunga daw vfw nuuu pakkkaaaa maaaassss,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
ini ella actor fansku allllu adhikamairukum,0,Not_offensive,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,False
solrathuku onumey ela simply west yatho seriyal pakara mathre eruku,1,Offensive_Untargeted,1,Offensive_Untargeted,2,Offensive_Targeted_Individual,0,Not_offensive,False
intha kelattu naaya inthamari pathu rombha naalachu nalaarkuda trailer,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,1,Offensive_Untargeted,0,Not_offensive,False
looks like vjs plays as villain,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
2050 naan arasiyalukku varuvadhu urudhi yen adutha padatha jeikka vaikkanum,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,0,Not_offensive,3,Offensive_Targeted_Group,False
vivagam pathu vijay fans mersal aairuvaanga,0,Not_offensive,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,3,Offensive_Targeted_Group,False
u1 visay ku eppa sir intha mathiri music poda poringa,0,Not_offensive,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
for haters அசுரன் பரியேறும்பெருமாள் மெட்ராஸ் அட்டகத்தி காலா இந்த படம் எடுக்கும் போது எங்க போயிருந்தீங்க,0,Not_offensive,0,Not_offensive,3,Offensive_Targeted_Group,4,Offensive_Targeted_Other,False
dei idhu dumb and dumber dhane,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,4,Offensive_Targeted_Other,False
oru like ku mela pota mudila da ena panrathu,0,Not_offensive,1,Offensive_Untargeted,1,Offensive_Untargeted,1,Offensive_Untargeted,False
marana mass but paruthikulam cvf 20891,1,Offensive_Untargeted,0,Not_offensive,0,Not_offensive,0,Not_offensive,False
al vijay un ex wife amala paul vachu padam edu theivaillama ethukuda jj ippadi eduthuvachruka,0,Not_offensive,3,Offensive_Targeted_Group,2,Offensive_Targeted_Individual,2,Offensive_Targeted_Individual,False
