text,label,language
சினிமாத்துறையில் ஒரேஒரு சமூகம் பற்றி மட்டும் அருமை பெருமைய அந்த சமூகத்தில் மற்ற சமூகத்தினிரால் ஏற்படும் பிரச்சனை சமூக சீரழிவுகள் மத்த மாற்று சமூகங்கள் பாதிக்கபட்ட சமூகத்தை ஏளனம் கிண்டல் பொது இடங்களில் தலைகுணிவு போனரவற்றை திரையில் காண்பிக்க எந்த இயக்குனர்கும் திராணி இல்லை திராணி இல்லாமல் சொல்வதை எங்க நம்மள ஒதுக்கி வைத்து விடுவார்களோ நம்ம எடுக்குக்ம் படம் ஓடாதோ நோக்கத்தில் எடுக்கமாற்றாற்கள் முதன் முதலில் ஒரு இயக்குனர் திராணியோடு மேலே சொன்ன இயக்குனர் மோகன் ஜீ அவர்கள் மட்டும் தான் மோகன் ஜி நீங்கள் எதுக்கும் கவலை படாதீங்க சார் நாங்கள் இருக்கோம்,3,tamil
சாதி படம் இல்லாமல் இருந்தால் தமிழ் சினிமா நல்லா இருக்கும்,0,tamil
tiktok sule makkla papa thumbs hurt agidri sadee nan gandu galuu,3,kannada
thalapathy fans try pannuranuva to dislike paavam ithu thala da,0,tamil
இந்த படம் மாபெரும் வெற்றியடையும் கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்,0,tamil
ji teasar ku thappa tease irukku,0,tamil
one week salala reach abeku ivag ela fast ide nyc movie nodbeku etara agbhardu node nodthare jana nodo tym ivag irbeku etara agbhardu,4,kannada
super thalaiva super unna eppadi pathu ronba nalachi weldon karthik suppuraj and petta team,0,tamil
tamil nadu karanukku kasu illa lyca srilankan adutha padam,0,tamil
ippo na oru kelvi kekkura manisana iruntha unmaiya pathil sollu illa vena nee oyarntha sathiya iruntha unmaiya pathil sollu nee adipattu uirku poradura kizh sathi kara kittatha antha blood group irukku aava ratham kudutha othukanattiya illa na blood bank la vangikuva sollu va aathu eantha sathi karanuthunu theriyathu blood eathikka mattiya sollu,0,tamil
gv style la sonna vera levela varom,0,tamil
