text,label
nan maga ge lali song wake up song ella nu e song agide,1
super movie love madabardu guruuu,1
dboss murkha abhimani galu,3
shetty lo beedhi soole magane nin prakarane belsbeku annodidre nim kade maado yakshagaana,2
raktha rathri yakshagana nodi maryare,0
raj ninu thika muchho lo yeno artha aythu ninge ಕಾಮೆಂಟ್ಸ್ ಓದೋದು ಕಲಿ,2
nikistark x promotion chennagi idrunu bere language ge jaathi priority kodtare nam state li kannada movie ge support madalla distributors,4
appu boss kade enda asn movie ge full support edhe,0
ಶೆಟ್ರೇ ಸಿಗ್ನೇಚರ್ ಸ್ಟೆಪ್ ಮ್ಯಾಜಿಕಲ್ ಕಂಪೋಸ್ ಮತ್ತೊಮ್ಮೆ ಅಜನೀಶ್ ಲೋಕನಾಥ್ ಮಾಸ್ ಎಲಿಮೆಂಟಿನಾ ಈ ಹಾಡು ಬಹಳ ತುಂಬಾ ದಿನದ ಮೇಲೇ ಮತ್ತೆ ಮತ್ತೆ ಹಾಕಿ ಕೇಳಿದೆ ಹಾಡಿನಲ್ಲಿರುವ ಸಾಹಿತ್ಯದಂತೆ ಅವನೆ ಶ್ರೀಮನ್ನಾರಯಣ ಚರಿತ್ರೆ ಸೃಷ್ಟಿಸುವ ಅವತಾರವಾಗಲಿ,0
ಕನ್ನಡವನ್ನು ಇನ್ನೊಂದು ಹಂತಕ್ಕೆ ಕೊಂಡೊಯ್ಯುವುದರಲ್ಲಿ ಸಂದೇಹವೇ ಇಲ್ಲ nರಶ್ಮಿಕ ಕಕ್ಕ ಅವರೇ ನೋಡಿ ಉರ್ಕೊಳ್ಳಿ,4
manju manju ಅದು ಒಂದ್ ಪದ ಬಿಟ್ಟು ನೋಡು,0
pogaru barthide wait madi guru,1
song hosa tara feel kodute,0
copy from vivek bindra,5
sir pls i request bgm for band master,5
bro iverella made in china,0
game name pls bro,5
love u boss,5
smile madalu nodi joking vdo,5
